Titulo,Subtitulo,Noticia,Real,Predito
"Bolsonaro não ""bateu recorde"" de despesas com cartão corporativo  ",,"verdade o presidente jair bolsonaro psl bater recordar despesa cartão corporativo consumir r$ 8,2 milhão dinheiro público cartão postagens viralizaram twitter domingo portal transparência o secretariar administração presidência repúblico gastar cercar r$ 4,6 milhão fevereiro o setembro d ano o montante recordar vestir gestão dilma rousseff pt o órgão gastar r$ 7,9 milhão valorar corrigir inflação entanto o total gastar secretariar administração n ano o registrar o secretariar o órgão governar federal feito despesa gabinete pessoal presidente",0,1
,,verdade o falto oxigênio o amazona durar dia janeiro comer afirmar marcellus campêlo ex-secretário saudar o cpi covid hoje campêlo inicialmente declarar o problema haver ocorrer durante o dia e janeiro reconhecer o escassez produto o mercar durar pelar dia o governador amazona wilson limar psc admitir janeiro o demandar oxigênio o rede público e privar haver multiplicar cincar dezembro antar mencionar pelar ex-secretário e janeiro o uol noticiar o campêlo o cargo secretário estadual saudar reconhecer haver riscar desabastecimento oxigênio o amazona — datar citar o cpi o o uol conferir checar,0,1
CoronaVac não matou voluntário nem Doria anunciou aplicação da vacina em novembro,,morte o vacinar e o o governador paulo anunciar o chegar lotar vacinar novembro o início vacinação,0,1
"

Pessoas no Canadá são informadas sobre o coronavírus com teste da respiração #boato 
",Boato – As pessoas do Canadá são avisadas sobre o novo coronavírus com um teste em que se prende a respiração por 10 segundos.,pessoa canadá informar o coronavírus ncp mostrar sinal infecção dia infectar informação recente afirmar o período incubação dia sintoma covid tornar visível pessoa febre e tossir e o o hospital pulmão geralmente fibroso e tarde!os especialista taiwan oferecer autoavaliação simples manhã respirar fundir e prender o respiração concluir êxito o exame tossir desconfortar sensação estatura apertar etc mostrar haver fibrose pulmão o basicamente significar haver infecção autoteste manhã crítico ambientar ar limpar excelente médico japonesar tratar caso covid-19 garantir bocar e garganta úmidas e secas.tome gole água o minuto o vírus bocar … o água potável líquido o liberar esôfago o estômago o ácido estomacal matar o vírus beber água suficiente regularmente … o vírus entrar traquéia e pulmão perigoso enviar informação família amigo e conhecer,0,1
goleiro sidão voltar parir o “ escuro e triste ” constrangimento o o viver,,sucessivo falhar umar d atribuir diretamente o o gol santo vencer o vasco x o goleiro sidão acabar escolher popularmente e ironicamente comer o craque o término jogar umar repórter tv globo entregar troféu “ craque jogar ” o o goleiro visivelmente constranger conferir o abaixar,0,1
o mpf identificar jean wyllys repassar r$ parir o advogar esfaqueador bolsonaro,,o notícia surgir diverso site e blogs o janeiro anúncio deputar federal jean wyllys renunciar o o mandatar e sair país acordar o texto o ministério público federal identificar o parlamentar repassar r$ parir o advogar homem esfaquear o candidatar presidência jair bolsonaro,0,1
jean wyllys desistir mandatar parir fugir investigação sobrar desviar verba,,o dia janeiro inúmero publicação o redar social afirmar levantar o hipótese o anúncio renúncia cargo deputar pelar político jean wyllys motivar ocultar o deputar federal e ativista lgbt querer fugir investigação o respeitar desviar verba o ano vidar público,0,1
Ozonioterapia não tem eficácia comprovada contra a covid-19  ,,haver comprovação científico eficácia tratamento o covid-19 proposto prefeito itajaí sc volnei morastoni mdb dia agostar live facebook anunciar o município passar o oferecer ambulatório ozônio paciente confirmar o doença realizar o chamar ozonioterapia.a técnico administrar misturar oxigênio e ozônio corpo diverso via consenso comunidade médico e autorização federal medicinar aplicar experimental o cidade participar estudar associação brasileiro ozonioterapia avaliar o efetividade tratamento o ensaiar o prefeitura realizar país e limitar participante prático disponível o morador cidade interessar,0,1
Decisões do STF contra Bolsonaro estão dentro das atribuições da Corte  ,,publicação feito twitter distorcer fato sugerir atitude inconstitucionalidade supremo tribunal federal stf o ações envolver o governar jair bolsonaro partido).no texto o autor levantar suspeito atos recente judiciário o suspensão nomeação diretor polícia federal o decisão e município competência concorrente tomar providência enfrentamento o o coronavírus o afirmação forçar armar exercer o moderador o audiência público promovido órgão discutir o captação recurso o fundir nacional mudança clima fundir clima decisão basear artigo constituição,0,1
"Prevaricação se aplica ao presidente, ao contrário do que disse Bolsonaro  ",,o crime prevaricação aplicar o chefe executivo o o contrário o presidente jair bolsonaro o o comentar o acusação cometer o delito o o tomar providência denúncia suposto irregularidade o comprar vacinar covaxin o polícia federal investigar haver prevaricação presidente o código penal definir comer funcionário público pessoa exercer umar função público o prevaricação ocorrer tesar funcionário público atrasar deixar tomar umar medir caber o o postar agir formar contrário s lei parir satisfazer interessar sentimento pessoal o checagem uol conferir,0,1
